"Datum";"Objem";"Měna";"Protiúčet";"Kód banky";"KS";"VS";"SS";"Poznámka";"Typ"
"13.02.2022";"-90";"CZK";"";"";"";"7112";"";"Nákup: PEPCO,  Area Bory, Sukova 2895/23, Plzen, 301 00, CZE, dne 12.2.2022, částka  90.00 CZK";"Karetní transakce"
"13.02.2022";"-203";"CZK";"";"";"";"7112";"";"Nákup: Billa Papirnicka ul.,  Billa Papirnicka ul., Plzen - Papir, 32600, CZE, dne 12.2.2022, částka  203.00 CZK";"Karetní transakce"
"13.02.2022";"-39";"CZK";"";"";"";"7112";"";"Nákup: ASKO NABYTEK SPOL SR,  FOLMAVSKA, PLZEN, 318 00, CZE, dne 12.2.2022, částka  39.00 CZK";"Karetní transakce"
"13.02.2022";"-58";"CZK";"";"";"";"7112";"";"Nákup: MOBELIX PL 97145,  FOLMAVSKA 1270, PLZEN, 301 00, CZE, dne 12.2.2022, částka  58.00 CZK";"Karetní transakce"
